Id,Books,Book checkout,Book Returned,Days allowed to borrow,Customer ID,days_borrowed,valid_loan_flag
1,Catcher in the Rye ,2023-02-20,2023-02-25,2 weeks,1,5,True
6,Little Women,2023-04-02,2023-05-01,2 weeks,1,29,True
9,Catch 22,2023-04-15,2023-04-16,2 weeks,7,1,True
10,Animal Farm ,2023-04-20,2023-04-24,2 weeks,2,4,True
11,1984,2023-04-23,2023-04-27,2 weeks,8,4,True
12,Little Women,2023-04-02,2023-05-01,2 weeks,1,29,True
13,East of Eden,2023-04-30,2023-05-05,2 weeks,2,5,True
14,America Is in the Heart,2023-05-01,2023-05-07,2 weeks,3,6,True
15,Wuthering Heights,2023-05-01,2023-05-10,2 weeks,9,9,True
16,Dark Tales,2023-05-15,2023-06-01,2 weeks,2,17,True
18,Les Miserables,2023-06-03,2023-06-07,2 weeks,5,4,True
19,Dracula,2023-06-10,2023-07-10,2 weeks,10,30,True
20,Frankenstein,2023-06-01,2023-06-20,2 weeks,2,19,True
